2018-11-19 17:02:52.597---666--- [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2018-11-19 17:02:52.598---666--- [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2252 ms
2018-11-19 17:02:52.948---666--- [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'statViewServlet' to [/druid/*]
2018-11-19 17:02:52.950---666--- [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2018-11-19 17:02:52.952---666--- [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-11-19 17:02:52.952---666--- [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-11-19 17:02:52.952---666--- [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-11-19 17:02:52.953---666--- [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2018-11-19 17:02:52.953---666--- [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'xssFilter' to urls: [/*]
2018-11-19 17:02:52.953---666--- [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'shiroFilter' to: [/*]
2018-11-19 17:02:53.402---666--- [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-11-19 17:02:55.737---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/global/error]}" onto public java.lang.String com.stylefeng.guns.common.controller.GlobalController.errorPage()
2018-11-19 17:02:55.738---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/blackboard]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.BlackboardController.blackboard(org.springframework.ui.Model)
2018-11-19 17:02:55.738---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/code]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.CodeController.index()
2018-11-19 17:02:55.738---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/code/generate],methods=[POST]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.CodeController.add(java.lang.String,java.lang.String,java.lang.String)
2018-11-19 17:02:55.740---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dept]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.DeptController.index()
2018-11-19 17:02:55.740---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dept/add]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.DeptController.add(com.stylefeng.guns.common.persistence.model.Dept)
2018-11-19 17:02:55.741---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dept/update]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.DeptController.update(com.stylefeng.guns.common.persistence.model.Dept)
